region,bg_code,berufsgruppe,median_entgelt
Mecklenburg-Vorpommern,411,Mathematik und Statistik,None
Mecklenburg-Vorpommern,431,Informatik,4.285
Mecklenburg-Vorpommern,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",4.632
Mecklenburg-Vorpommern,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",4.902
Mecklenburg-Vorpommern,434,Softwareentwicklung und Programmierung,4.586
Mecklenburg-Vorpommern,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.808
Mecklenburg-Vorpommern,516,Kaufleute - Verkehr und Logistik,3.380
Mecklenburg-Vorpommern,521,Fahrzeugführung im Straßenverkehr,2.817
Mecklenburg-Vorpommern,525,Bau- und Transportgeräteführung,3.113
Mecklenburg-Vorpommern,541,Reinigung,2.391
Mecklenburg-Vorpommern,611,Einkauf und Vertrieb,4.168
Mecklenburg-Vorpommern,612,Handel,3.277
Mecklenburg-Vorpommern,621,Verkauf (ohne Produktspezialisierung),2.612
Mecklenburg-Vorpommern,623,Verkauf von Lebensmitteln,2.292
Mecklenburg-Vorpommern,632,Hotellerie,2.437
Mecklenburg-Vorpommern,633,Gastronomie,2.390
Mecklenburg-Vorpommern,634,"Veranstaltungsservice, -management",None
Mecklenburg-Vorpommern,711,Geschäftsführung und Vorstand,6.531
Mecklenburg-Vorpommern,713,Unternehmensorganisation und -strategie,4.487
Mecklenburg-Vorpommern,714,Büro und Sekretariat,3.241
Mecklenburg-Vorpommern,715,Personalwesen und -dienstleistung,4.611
Mecklenburg-Vorpommern,721,Versicherungs- u. Finanzdienstleistungen,4.665
Mecklenburg-Vorpommern,722,"Rechnungswesen, Controlling und Revision",3.806
Mecklenburg-Vorpommern,723,Steuerberatung,3.224
Mecklenburg-Vorpommern,732,Verwaltung,4.230
Mecklenburg-Vorpommern,733,Medien-Dokumentations-Informationsdienst,3.763
Mecklenburg-Vorpommern,811,Arzt- und Praxishilfe,2.691
Mecklenburg-Vorpommern,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.008
Mecklenburg-Vorpommern,817,Nicht ärztliche Therapie und Heilkunde,3.082
Mecklenburg-Vorpommern,821,Altenpflege,3.698
Mecklenburg-Vorpommern,822,"Ernährungs-,Gesundheitsberatung,Wellness",None
