id,titel,beruf,arbeitgeber,eintrittsdatum,aktuelleVeroeffentlichungsdatum,ort,region,plz,land
10000-1205009164-S,Gestalter/in für visuelles Marketing,Gestalter/in - visuelles Marketing,Buss Wohnen GmbH & Co. KG,2026-08-01,2026-03-09,Oldenburg (Oldb),Niedersachsen,26135,Deutschland
19924-935046616-S,Mitarbeiter (m/w/d) Marketing,Marketingfachkraft/-assistent/in,univativ GmbH,2026-04-21,2026-03-24,Wiesbaden,Hessen,65187,Deutschland
12122-185942-1704352-0-S,Marketing Manager (m/w/d),Performance-Marketing-Manager/in,persona service AG & Co.KG. Lüdenscheid,2025-12-09,2025-07-15,Lüdenscheid,Nordrhein-Westfalen,58513,Deutschland
10001-1002744010-S,Marketing Manager (w/m/d),Betriebswirt/in (Hochschule) - Marketing,iGo3D GmbH,2026-03-19,2026-03-11,Hannover,Niedersachsen,30179,Deutschland
20173-0063441069-S,Digital Marketing Manager (m/w/d),Fachkaufmann/-frau - Marketing,Stürmer Maschinen GmbH,2026-03-26,2026-03-11,Hallstadt,Bayern,96103,Deutschland
10001-1002722282-S,Gestalter für visuelles Marketing (m/w/d),Gestalter/in - visuelles Marketing,Mission Personal GmbH,2026-03-06,2026-03-06,Wiesbaden,Hessen,65207,Deutschland
10001-1002759141-S,Laboringenieur/in Marketing-Forschungslabor (m/w/d),Betriebswirt/in (Hochschule) - Marketing,Hochschule für Angewandte Wissenschaften Hof Land Bayern,2026-03-31,2026-03-13,"Hof, Saale",Bayern,95028,Deutschland
10001-1002812653-S,Marketing-Assistenz (m/w/d),Marketingfachkraft/-assistent/in,CeGat GmbH,2026-03-23,2026-03-23,Tübingen,Baden-Württemberg,72076,Deutschland
10001-1002817797-S,Marketing Manager:in (m/w/d),Betriebswirt/in (Hochschule) - Marketing,Uhlmann&Zacher GmbH,2026-03-31,2026-03-24,Waldbüttelbrunn,Bayern,97297,Deutschland
12633-26a9eca5_JB5099247-S,Mitarbeiter Digital Marketing (m/w/d),Fachkraft - Marketing/Verkauf/Vertrieb,DIS AG,2026-04-02,2026-03-19,Bad Nenndorf,Niedersachsen,31542,Deutschland
10001-1001998510-S,Mitarbeiter/in im Marketing (m/w/d),Marketingfachkraft/-assistent/in,Ambulanter Pflegedienst Hand in Hand GmbH,2026-03-13,2025-10-16,Buchen (Odenwald),Baden-Württemberg,74722,Deutschland
10001-1001737732-S,Mitarbeiter im Marketing (m/w/d),Marketingfachkraft/-assistent/in,MeineZeit Mgt. AG,2026-03-26,2025-08-26,Wendisch Rietz,Brandenburg,15864,Deutschland
10001-1002585042-S,Allrounder Marketing (m/w/d),Betriebswirt/in (Hochschule) - Marketing,Ohrdrufer Schlauch Weberei Eschbach GmbH,2026-03-23,2026-02-11,Ohrdruf,Thüringen,99885,Deutschland
11959-104622-S,Marketing Communication Support (m/w/d),Fachkraft - Marketing/Verkauf/Vertrieb,Indaver Gruppe - AVG Abfall-Verwertungs-Gesellschaft mbH,2026-03-26,2026-03-26,Hamburg,Hamburg,22113,Deutschland
14922-108906-S,Studentische Mitarbeiter  Marketing (m/w/d),Leiter/in - Marketing,Oppenhoff & Partner,2026-03-11,2026-03-11,Köln,Nordrhein-Westfalen,50668,Deutschland
10001-1002626965-S,Marketing Manager (m/w/d),Kaufmann/-frau - Marketingkommunikation,Draht-Werner GmbH & Co.KG,2026-02-18,2026-02-18,"Wittenborn, Kreis Segeberg",Schleswig-Holstein,23829,Deutschland
10001-1002124436-S,Marketing & Community Manager (m/w/d),Fachkraft - Marketing/Verkauf/Vertrieb,ekkodale GmbH,2026-01-30,2025-11-10,Wiesbaden,Hessen,65185,Deutschland
10001-1002463722-S,Marketing Generalist (m/w/d),Fachkraft - Marketing/Verkauf/Vertrieb,PAV Herzog,2026-01-22,2026-01-22,Dresden,Sachsen,Unbekannt,Deutschland
10001-1002738418-S,Marketing (w/m/d) als Werkstudent:in,Kommunikationsdesigner/in,AES GmbH,2026-03-20,2026-03-10,Bremen,Bremen,28199,Deutschland
10001-1002738244-S,Marketing (w/m/d) als Werkstudent:in,Kommunikationsdesigner/in,AES GmbH,2026-03-10,2026-03-10,Bremen,Bremen,28199,Deutschland
13224-QUMHSI69FPQFKB7Z-S,Marketing Manager  (m/w/d),Fachkaufmann/-frau - Marketing,power people GmbH,2026-02-18,2026-02-18,Hamburg,Hamburg,22041,Deutschland
